N	 n	 zpb0	 spb0	 zpb1	 spb1
10	 2	 0.107	 0.09	 0.173	 0.147
10	 3	 0.112	 0.099	 0.197	 0.182
10	 4	 0.126	 0.105	 0.231	 0.215
10	 5	 0.126	 0.111	 0.26	 0.248
15	 2	 0.114	 0.101	 0.199	 0.179
15	 3	 0.124	 0.113	 0.238	 0.227
15	 4	 0.133	 0.122	 0.285	 0.274
15	 5	 0.136	 0.13	 0.322	 0.32
20	 2	 0.116	 0.112	 0.222	 0.209
20	 3	 0.131	 0.127	 0.273	 0.27
20	 4	 0.144	 0.138	 0.326	 0.33
20	 5	 0.16	 0.147	 0.399	 0.387
25	 2	 0.139	 0.122	 0.254	 0.237
25	 3	 0.144	 0.14	 0.314	 0.311
25	 4	 0.166	 0.153	 0.39	 0.381
25	 5	 0.17	 0.164	 0.451	 0.449
30	 2	 0.144	 0.132	 0.269	 0.264
30	 3	 0.156	 0.152	 0.348	 0.35
30	 4	 0.17	 0.167	 0.432	 0.431
30	 5	 0.183	 0.18	 0.513	 0.506
35	 2	 0.149	 0.141	 0.292	 0.29
35	 3	 0.17	 0.163	 0.386	 0.387
35	 4	 0.181	 0.181	 0.47	 0.476
35	 5	 0.191	 0.195	 0.556	 0.558
40	 2	 0.151	 0.149	 0.322	 0.316
40	 3	 0.176	 0.175	 0.426	 0.423
40	 4	 0.196	 0.194	 0.521	 0.521
40	 5	 0.218	 0.211	 0.602	 0.607
45	 2	 0.167	 0.158	 0.352	 0.341
45	 3	 0.194	 0.186	 0.456	 0.457
45	 4	 0.211	 0.208	 0.558	 0.561
45	 5	 0.23	 0.225	 0.655	 0.65
50	 2	 0.171	 0.167	 0.367	 0.365
50	 3	 0.189	 0.197	 0.488	 0.49
50	 4	 0.218	 0.221	 0.593	 0.599
50	 5	 0.237	 0.24	 0.679	 0.689
